City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,portland,45.5234,-122.6762,291.11,80,100,2.57,US,1696876453
84,ulsteinvik,62.3432,5.8487,282.22,82,100,5.36,NO,1696877259
85,mount pearl,47.5166,-52.7813,284.73,93,100,3.6,CA,1696877260
86,karasburg,-28.0167,18.75,295.28,19,6,4.02,NA,1696877260
87,antofagasta,-23.65,-70.4,290.75,65,83,3.26,CL,1696877262
88,ust-nera,64.5667,143.2,262.71,98,98,0.45,RU,1696877263
89,silverton,45.0051,-122.7832,289.71,81,100,0.66,US,1696877264
90,fergus falls,46.283,-96.0776,285.33,60,100,5.66,US,1696877017
91,nar'yan-mar,67.6713,53.087,274.32,75,65,6.26,RU,1696877265
92,la'ie,21.6477,-157.9253,301.13,73,5,2.68,US,1696877265
93,kidal,18.4411,1.4078,307.27,14,72,2.6,ML,1696877266
94,caxias,38.7031,-9.2767,299.78,35,0,7.72,PT,1696877267
95,praia da vitoria,38.7333,-27.0667,295.29,78,40,10.45,PT,1696877268
96,manga,11.6636,-1.0731,302.14,56,79,2.06,BF,1696877270
97,yellowknife,62.456,-114.3525,287.27,79,75,4.63,CA,1696877271
98,constantia,44.1833,28.65,285.76,52,40,5.18,RO,1696876981
99,san felice circeo,41.2372,13.0942,299.29,88,10,0.89,IT,1696877273
100,kodiak,57.79,-152.4072,278.88,75,0,4.63,US,1696877273
101,salahonda,2.1019,-78.7217,299.06,86,100,2.12,CO,1696877275
102,penha,-26.7694,-48.6458,294.08,100,75,4.12,BR,1696877276
103,port lincoln,-34.7333,135.8667,285.34,85,5,3.76,AU,1696877276
104,laojunmiao,39.8333,97.7333,280.86,40,5,4.27,CN,1696877277
105,guerrero negro,27.9769,-114.0611,299.84,54,5,5.43,MX,1696877177
106,dhidhdhoo,6.8833,73.1,301.52,73,95,0.97,MV,1696877279
107,ta`u,-14.2336,-169.5144,299.93,82,88,4.76,AS,1696877279
108,bilibino,68.0546,166.4372,261.46,98,100,0.51,RU,1696877280
109,taoudenni,22.6783,-3.9836,306.35,9,0,4.52,ML,1696877280
110,idri,27.5,13.2667,298.59,31,88,1.61,LY,1696877281
111,pisco,-13.7,-76.2167,295.18,68,0,4.12,PE,1696877283
112,pama,11.2497,0.7075,301.89,59,10,0.84,BF,1696877283
113,hohhot,40.8106,111.6522,277.31,75,0,2.0,CN,1696877284
114,st. john's,47.5649,-52.7093,285.19,94,100,3.6,CA,1696877117
115,springbok,-29.6643,17.8865,289.54,53,7,1.64,ZA,1696877285
116,tazovsky,67.4667,78.7,279.16,90,100,7.26,RU,1696877286
117,olyokminsk,60.3736,120.4264,278.14,85,74,1.79,RU,1696877286
118,alice springs,-23.7,133.8833,282.9,37,0,0.51,AU,1696877275
119,yashkino,55.8736,85.4265,284.11,61,100,4.86,RU,1696877287
120,enewetak,11.3474,162.3373,301.86,76,100,8.35,MH,1696877288
121,zmeyskaya,43.3362,44.1573,282.91,67,100,2.32,RU,1696877288
122,pontianak,-0.0333,109.3333,297.14,94,100,1.54,ID,1696877291
123,ilulissat,69.2167,-51.1,272.16,100,75,3.6,GL,1696877292
124,lazaro cardenas,17.9583,-102.2,299.49,88,100,5.05,MX,1696877292
125,hermanus,-34.4187,19.2345,288.03,79,81,8.35,ZA,1696877293
126,popondetta,-8.7537,148.2534,296.36,87,100,0.83,PG,1696877293
127,debica,50.0515,21.4114,281.45,82,100,0.82,PL,1696877294
128,gambiran satu,-8.3939,114.1464,294.9,96,68,0.83,ID,1696877297
129,izazi,-7.2,35.7333,299.52,40,6,2.36,TZ,1696877298
130,kenai,60.5544,-151.2583,278.79,98,100,2.57,US,1696877299
131,isafjordur,66.0755,-23.124,279.17,70,20,7.72,IS,1696877302
132,uturoa,-16.7333,-151.4333,298.48,75,100,8.19,PF,1696877303
133,wad medani,14.4012,33.5199,308.08,16,8,3.48,SD,1696877303
134,barika,35.389,5.3658,296.56,45,1,1.88,DZ,1696877304
135,berezovyy,51.6667,135.7,276.14,89,8,1.65,RU,1696877304
136,tura,25.5198,90.2201,295.31,92,66,1.81,IN,1696877305
137,bandarbeyla,9.4942,50.8122,298.93,89,70,2.96,SO,1696877305
138,san jose del guaviare,2.5729,-72.6459,304.9,62,89,1.62,CO,1696877306
139,scottburgh,-30.2867,30.7532,291.54,92,100,2.51,ZA,1696877307
140,hithadhoo,-0.6,73.0833,300.82,81,72,6.7,MV,1696877308
141,stanley,54.868,-1.6985,289.0,90,0,2.57,GB,1696877308
142,tekirova,36.5017,30.5272,297.58,74,0,2.76,TR,1696877309
143,kaduy,59.2,37.15,275.65,95,100,3.8,RU,1696877309
144,yala,6.3333,101.25,297.35,96,18,0.91,TH,1696877310
145,hamilton,39.1834,-84.5333,291.62,48,40,5.36,US,1696877181
146,ponta grossa,-25.095,-50.1619,294.12,61,1,1.69,BR,1696877017
147,sarangani,5.4033,125.4636,301.22,79,100,6.83,PH,1696877313
148,krasnapollye,53.3337,31.4014,278.54,67,100,4.16,BY,1696877313
149,gafanha da nazare,40.6362,-8.7134,293.73,67,38,3.59,PT,1696877314
150,tayshet,55.9342,98.0044,283.19,80,92,2.16,RU,1696877314
151,saudarkrokur,65.7461,-19.6394,279.51,84,60,4.35,IS,1696877315
152,palapag,12.5458,125.1147,298.92,89,100,2.1,PH,1696877315
153,korla,41.7597,86.1469,291.44,31,98,4.84,CN,1696877316
154,pangody,65.85,74.4859,277.83,93,43,7.02,RU,1696877316
155,vung tau,10.346,107.0843,300.25,82,80,3.38,VN,1696877317
156,serdar,38.9764,56.2757,295.24,28,6,1.6,TM,1696877317
157,el galpon,-25.3807,-64.6526,306.23,20,3,6.1,AR,1696877318
158,yeed,4.55,43.0333,305.34,37,60,3.3,SO,1696877318
159,port elizabeth,-33.918,25.5701,288.31,82,100,3.6,ZA,1696877243
160,agryz,56.5203,52.9942,276.48,85,81,4.59,RU,1696877319
161,nadym,65.5333,72.5167,277.88,89,67,7.0,RU,1696877320
162,tigwav,18.4314,-72.8669,304.9,63,47,2.41,HT,1696877320
163,tikamgarh,24.745,78.8333,298.6,56,3,3.03,IN,1696877321
164,kuusamo,65.9667,29.1833,272.17,93,100,3.6,FI,1696877322
165,sungjibaegam,41.2428,128.7989,275.51,98,37,2.33,KP,1696877322
166,urangan,-25.3,152.9,291.92,64,0,3.68,AU,1696877323
167,laela,-8.5667,32.05,295.95,28,15,1.8,TZ,1696877323
168,kobelyaky,49.1489,34.1965,279.55,39,100,3.29,UA,1696877324
169,chusovoy,58.3013,57.8131,276.92,84,29,4.6,RU,1696877324
170,kindu,-2.95,25.95,295.55,98,99,0.82,CD,1696877324
171,aki,33.5,133.9,294.12,88,92,2.19,JP,1696877325
172,puerto santa,-8.9906,-78.6456,294.12,79,73,4.43,PE,1696877325
173,manakara,-22.1333,48.0167,295.01,93,7,3.69,MG,1696877326
174,jinka,5.65,36.65,293.54,64,18,1.27,ET,1696877326
175,new norfolk,-42.7826,147.0587,280.77,97,9,1.21,AU,1696877327
176,frontera,26.9333,-101.45,296.98,69,100,1.34,MX,1696877328
177,codrington,-38.2667,141.9667,282.54,80,100,1.58,AU,1696877328
178,tiznit,29.5833,-9.5,299.53,17,100,1.32,MA,1696877329
179,wakkanai,45.4094,141.6739,284.87,85,100,1.79,JP,1696877329
180,oarai,36.3167,140.6,291.62,88,100,4.35,JP,1696877330
181,saipan,15.1355,145.701,299.54,89,40,9.26,MP,1696877330
182,vila franca do campo,37.7167,-25.4333,296.97,99,91,6.84,PT,1696877331
183,rikaze,29.25,88.8833,282.89,48,0,1.84,CN,1696877331
184,qaqortoq,60.7167,-46.0333,276.71,95,95,2.17,GL,1696877332
185,luderitz,-26.6481,15.1594,289.2,80,10,3.77,NA,1696877332
186,santa luzia,-19.7697,-43.8514,303.75,45,75,3.6,BR,1696877333
187,gisborne,-38.6533,178.0042,282.51,75,1,3.49,NZ,1696877333
188,hawaiian paradise park,19.5933,-154.9731,300.3,80,40,2.06,US,1696877333
189,stepnoye,51.4,46.8667,280.29,74,100,6.88,RU,1696877334
190,porsgrunn,59.1405,9.6561,278.68,72,98,0.22,NO,1696877285
191,kurchatov,51.6601,35.6521,277.38,50,75,3.4,RU,1696877335
192,cidreira,-30.1811,-50.2056,292.29,73,7,2.89,BR,1696877335
193,nova sintra,14.8667,-24.7167,298.56,80,100,4.21,CV,1696877335
194,morris,40.8334,-74.5329,288.78,52,40,4.12,US,1696877336
195,puerto san jose,13.9256,-90.8244,303.19,72,99,3.31,GT,1696877336
196,kerikeri,-35.2268,173.9474,284.21,91,33,0.45,NZ,1696877337
197,comodoro rivadavia,-45.8667,-67.5,291.07,24,40,12.35,AR,1696877337
198,si satchanalai,17.5169,99.7598,296.39,97,88,0.56,TH,1696877338
199,forster,-32.1667,152.5167,286.61,79,100,1.97,AU,1696877254
200,xindian,36.7975,118.2944,286.82,61,14,0.81,CN,1696877339
201,papatowai,-46.5619,169.4708,279.28,73,78,10.03,NZ,1696877339
202,kharkhorin,47.1975,102.8238,279.23,45,0,1.5,MN,1696877339
203,birjand,32.8663,59.2211,289.41,20,0,2.06,IR,1696877340
204,weno,7.4515,151.8468,301.12,94,100,6.69,FM,1696877340
205,trebon,49.0036,14.7707,287.0,93,100,4.7,CZ,1696877341
